Repo Name,Collaborator,Collaborator2,Collaborator3,Collaborator4,Collaborator5,Collaborator6,Collaborator7,Collaborator8,Collaborator9,Collaborator10,Collaborator11,Collaborator12,Collaborator13,Collaborator14,Collaborator15,Collaborator16,Collaborator17,Collaborator18,Collaborator19,Collaborator20,Collaborator21,Collaborator22,Collaborator23,Collaborator24,Collaborator25,Collaborator26,Collaborator27,Collaborator28,Collaborator29
NRM-Heritage_DWBI,nathan-farnsworth,sukanya-pailla,jose-acosta3,adrian-grell,bjlee,cbbarrett,deirdreremley,denise-wickwar,regina-griffith,tara-hamilton,Lorena-Vasquez,Michelle-Anderson2,Luan-Pham,Joseph-Gouge,kristen-hauge,wendy-parker,Maria-Conrado,Mariah-Furtek,Sterling-Clay,brandy-clark,Brandy-Hurtado,Jeffrey-Chase,"Michelle-Gray""",,,,,,
NRM-Heritage-Database,nathan-farnsworth,jose-acosta3,cbbarrett,deirdreremley,tara-hamilton,Christopher-Barrett,Michelle-Anderson2,"wendy-parker""",,,,,,,,,,,,,,,,,,,,,
NRM-Heritage-DataMigration,nathan-farnsworth,john-simonitch,jose-acosta3,cbbarrett,deirdreremley,delvin-bunton,frederick-pieper,tara-hamilton,Christopher-Barrett,Michelle-Anderson2,"wendy-parker""",,,,,,,,,,,,,,,,,,
NRM-InterpSrvs,nathan-farnsworth,john-simonitch,jose-acosta3,alla-gatton,cyndee-maki,jonathanbenoit,Cynthia-Maki,"Michelle-Anderson2""",,,,,,,,,,,,,,,,,,,,,
NRM-InvMonRngMap,nathan-farnsworth,martin-ferwerda,lynne-ouellette,linda-spencer,robert-colter,"Olivia-Fraser""",,,,,,,,,,,,,,,,,,,,,,,
NRM-InvMonRngMap-CodeStewardship,nathan-farnsworth,Thomas-Wolfe,robert-colter,"Olivia-Fraser""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-LocMinrls,nathan-farnsworth,naveen-jonnalagadda,lance-bragin,sukanya-pailla,gary-petrakes,john-simonitch,jose-acosta3,cchood,jaylene-rich,Michelle-Anderson2,Sheetal-Darpe,Gaurav-Thakkar,Cherrie-Mooty,michelle-mccarron,Lakshmi-Chebrolu,"Jinal-Shah""",,,,,,,,,,,,,
NRM-LocMinrls-MgCommodity,nathan-farnsworth,naveen-jonnalagadda,gary-petrakes,jeffrey-johnson,john-simonitch,jose-acosta3,"Michelle-Anderson2""",,,,,,,,,,,,,,,,,,,,,,
NRM-LSRS,nathan-farnsworth,Bennett-Lohre,trwarburton,susan-ruzicka,kelsey-david,rob-ahl,"Molly-Trace""",,,,,,,,,,,,,,,,,,,,,,
NRM-LSRS-2023,calbury,susan-ruzicka,david-ohara,Adam-Shepherd,Molly-Trace,Andrew-rawlings,vinu-raghavan,Patrick-Carney,Scott-Rosner,Monique-Stevenson,Ryan-Kelley2,David-Black,Lawrence-Armstrong,Annalisa-Stasey,Joy-Difranza,Fasil-Fetene,Ashley-Seim,Neida-Ortiz,"chans-obrien""",,,,,,,,,,
NRM-LSRS-Publication,nathan-farnsworth,jose-acosta3,susan-ruzicka,"david-ohara""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-MainMenuD,nathan-farnsworth,sukanya-pailla,gary-petrakes,"Lorena-Vasquez""",,,,,,,,,,,,,,,,,,,,,,,,,
